cq,cq_title,flap,flapLabel,answerClass,answerLabel,quality,qualityLabel,measurement,value,unit,mathesNahaiClass,mathesNahaiLabel,classification,classificationLabel,distanceClass,distanceLabel,connectionClass,connectionLabel,bloodSupplyClass,bloodSupplyLabel,chimericClass,chimericLabel,flowClass,flowLabel,movementClass,movementLabel,islandClass,islandLabel,preparationClass,preparationLabel,preHarvestClass,preHarvestLabel,skinGraftClass,skinGraftLabel,anastomosisClass,anastomosisLabel,survivalClass,survivalLabel
CQ07,CQ07: Is the flap pedicled or free?,https://example.org/ofl/cq-abox/cq07_free_flap,CQ07 free flap,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10054,Flaps without tissue connection to origin,,,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq05_branch_recognized_perforator_flap,CQ05 branch-based flap with recognized perforator,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10075,Branch-based flap with recognized perforator,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq08_branch_recognized_perforator_flap,CQ08 branch-based flap with recognized perforator,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10075,Branch-based flap with recognized perforator,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq05_branch_based_flap,CQ05 branch-based flap,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq05_branch_recognized_perforator_flap,CQ05 branch-based flap with recognized perforator,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq08_branch_based_flap,CQ08 branch-based flap,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq08_branch_recognized_perforator_flap,CQ08 branch-based flap with recognized perforator,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10076,Branch-based flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq08_non_random_pattern_flap,CQ08 non-random pattern flap,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10077,Non-random pattern flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq05_perforator_based_flap,CQ05 perforator based flap,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10078,Perforator based flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq08_perforator_based_flap,CQ08 perforator based flap,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10078,Perforator based flaps,,,,,,,,,,,,,,,,,,
CQ08,CQ08: Is it a random pattern or an axial or perforator flap?,https://example.org/ofl/cq-abox/cq08_random_pattern_flap,CQ08 random pattern flap,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10004,Random pattern flaps,,,,,,,,,,,,,,,,,,
CQ09,CQ09: Is it a chimeric flap?,https://example.org/ofl/cq-abox/cq09_chimeric_flap,CQ09 chimeric flap,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID1000092,Chimeric flaps,,,,,,,,,,,,,,,,
CQ10,"CQ10: What is the arterial flow direction, e.g. reversed flow or flow through flap?",https://example.org/ofl/cq-abox/cq10_anterograde_flow_flap,CQ10 flap with anterograde blood flow,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10113,Flaps with anterograde blood flow,,,,,,,,,,,,,,
CQ10,"CQ10: What is the arterial flow direction, e.g. reversed flow or flow through flap?",https://example.org/ofl/cq-abox/cq10_retrograde_flow_flap,CQ10 flap with retrograde blood flow,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10123,Flaps with retrograde blood flow,,,,,,,,,,,,,,
CQ11,"CQ11: Is it a rotational, advancement or transpositional flap?",https://example.org/ofl/cq-abox/cq11_advancement_flap,CQ11 advancement flap,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10070,Advancement flaps,,,,,,,,,,,,
CQ11,"CQ11: Is it a rotational, advancement or transpositional flap?",https://example.org/ofl/cq-abox/cq11_rotation_flap,CQ11 rotation flap,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10014,Rotation flaps,,,,,,,,,,,,
CQ11,"CQ11: Is it a rotational, advancement or transpositional flap?",https://example.org/ofl/cq-abox/cq11_transposition_flap,CQ11 transposition flap,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10067,Transposition flaps,,,,,,,,,,,,
CQ12,CQ12: Is it an island flap?,https://example.org/ofl/cq-abox/cq12_cutaneous_island_flap,CQ12 cutaneous island flap,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10115,Cutaneous island flap,,,,,,,,,,
CQ13,CQ13: How was the insertion site prepared?,https://example.org/ofl/cq-abox/cq13_insertion_site_preparation_flap,CQ13 flap classified by insertion site preparation,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID130001,Flaps classified by insertion site preparation,,,,,,,,
CQ14,CQ14: Was the flap modified before harvesting?,https://example.org/ofl/cq-abox/cq14_with_preharvest_modification_flap,CQ14 flap with preharvest modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10131,Flaps with preharvest modification,,,,,,
CQ14,CQ14: Was the flap modified before harvesting?,https://example.org/ofl/cq-abox/cq14_without_preharvest_modification_flap,CQ14 flap without preharvest modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10130,Flaps without preharvest modification,,,,,,
CQ15,CQ15: Did the flap require split-thickness skin grafting?,https://example.org/ofl/cq-abox/cq15_skin_graft_flap,CQ15 flap with skin graft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID120066,Flaps with skin graft,,,,
CQ16,CQ16: How was vessel anastomosis performed?,https://example.org/ofl/cq-abox/cq16_coupled_anastomosis_flap,CQ16 flap with coupled vessel anastomosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10223,Flaps classified by configuration of vessel anastomosis,,
CQ16,CQ16: How was vessel anastomosis performed?,https://example.org/ofl/cq-abox/cq16_sutured_anastomosis_flap,CQ16 flap with sutured vessel anastomosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10223,Flaps classified by configuration of vessel anastomosis,,
CQ17,CQ17: Did the flap fully survive?,https://example.org/ofl/cq-abox/cq17_arterial_obstruction_flap,CQ17 flap with arterial obstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10180,Flaps with arterial obstruction
CQ17,CQ17: Did the flap fully survive?,https://example.org/ofl/cq-abox/cq17_loss_at_apex_flap,CQ17 flap with loss at the apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10179,Flaps with loss at the apex
CQ17,CQ17: Did the flap fully survive?,https://example.org/ofl/cq-abox/cq17_total_loss_flap,CQ17 flap with total loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10183,Flaps with total loss
CQ17,CQ17: Did the flap fully survive?,https://example.org/ofl/cq-abox/cq17_venous_obstruction_flap,CQ17 flap with venous obstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10181,Flaps with venous obstruction
CQ17,CQ17: Did the flap fully survive?,https://example.org/ofl/cq-abox/cq17_without_tissue_loss_flap,CQ17 flap without tissue loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://purl.bioontology.org/ontology/OFL/OFLID10184,Flaps without tissue loss
